ward_no,date,mean
2,2018-08-28,-0.6475537471
3,2018-08-28,-0.7290311649
4,2018-08-28,-0.8325120456
5,2018-08-28,-0.6764676008
6,2018-08-28,-0.6065918255
7,2018-08-28,-0.636328618
8,2018-08-28,-0.5161927685
9,2018-08-28,-0.5233593018
10,2018-08-28,-0.5031989185
11,2018-08-28,-0.5836818747
12,2018-08-28,-0.511926713
13,2018-08-28,-0.5008811708
14,2018-08-28,-0.2521269527
15,2018-08-28,-0.4979272739
16,2018-08-28,-0.5369642321
17,2018-08-28,-0.5392412686
18,2018-08-28,-0.4389050655
19,2018-08-28,-0.307367786
20,2018-08-28,-0.3658851064
21,2018-08-28,-0.4106603317
22,2018-08-28,-0.4760761054
23,2018-08-28,-0.4737519333
24,2018-08-28,-0.4625042311
1,2018-09-04,-0.8479008583
2,2018-09-04,-0.7984669305
3,2018-09-04,-0.8177561552
4,2018-09-04,-0.7847593834
5,2018-09-04,-0.7504840549
6,2018-09-04,-0.78184153
7,2018-09-04,-0.7937938942
8,2018-09-04,-0.8434283561
9,2018-09-04,-0.8802434625
10,2018-09-04,-0.7553514765
11,2018-09-04,-0.8936082963
12,2018-09-04,-0.9700078937
13,2018-09-04,-1.007946584
14,2018-09-04,-0.9903318266
15,2018-09-04,-0.799967595
16,2018-09-04,-0.8226634247
17,2018-09-04,-0.7649506854
18,2018-09-04,-0.8178980608
19,2018-09-04,-0.8577791048
20,2018-09-04,-0.8650619359
21,2018-09-04,-0.9368114566
22,2018-09-04,-0.7019896925
23,2018-09-04,-0.9626803439
24,2018-09-04,-0.7624332213
1,2018-09-11,-1.279343493
2,2018-09-11,-1.260888866
3,2018-09-11,-1.285051917
4,2018-09-11,-1.347755718
5,2018-09-11,-1.216933483
6,2018-09-11,-1.117342761
7,2018-09-11,-1.272451696
8,2018-09-11,-1.009462153
9,2018-09-11,-1.00603963
10,2018-09-11,-0.582519158
11,2018-09-11,-1.202143943
12,2018-09-11,-0.5692460005
13,2018-09-11,-0.5824036312
14,2018-09-11,-0.8429316558
15,2018-09-11,-1.056593756
16,2018-09-11,-0.9075932272
17,2018-09-11,-0.8794344508
18,2018-09-11,-0.7409627465
19,2018-09-11,-0.6880073782
20,2018-09-11,-0.7646462785
21,2018-09-11,-1.02497727
22,2018-09-11,-0.94945575
23,2018-09-11,-0.8028711964
24,2018-09-11,-0.572278701
1,2018-09-18,-1.232712783
2,2018-09-18,-1.125167235
3,2018-09-18,-1.145576925
4,2018-09-18,-1.258221397
5,2018-09-18,-1.093687364
6,2018-09-18,-1.002803948
7,2018-09-18,-1.231896332
8,2018-09-18,-0.8792865731
9,2018-09-18,-1.010106509
10,2018-09-18,-0.6854963621
11,2018-09-18,-0.8728969417
12,2018-09-18,-0.9427711248
13,2018-09-18,-0.9227250729
14,2018-09-18,-0.9220922036
15,2018-09-18,-0.7822645865
16,2018-09-18,-0.4880804817
17,2018-09-18,-0.6047210152
18,2018-09-18,-0.9333068074
19,2018-09-18,-0.7413777882
20,2018-09-18,-0.7154251491
21,2018-09-18,-0.9062029332
22,2018-09-18,-0.767889758
23,2018-09-18,-1.093714497
24,2018-09-18,-0.6864761387
1,2018-09-25,-0.9112960356
2,2018-09-25,-0.9320415649
3,2018-09-25,-0.8907228013
4,2018-09-25,-0.8857727446
5,2018-09-25,-0.9276608209
6,2018-09-25,-0.9313605466
7,2018-09-25,-0.8858900832
8,2018-09-25,-0.8949328479
9,2018-09-25,-0.8709273911
10,2018-09-25,-1.045343631
11,2018-09-25,-0.9310409321
12,2018-09-25,-1.041683565
13,2018-09-25,-1.046352754
14,2018-09-25,-0.9275324681
15,2018-09-25,-0.8927937491
16,2018-09-25,-1.019565075
17,2018-09-25,-0.9620836626
18,2018-09-25,-0.8880084377
19,2018-09-25,-0.9219796131
20,2018-09-25,-0.9748476622
21,2018-09-25,-0.9660056433
22,2018-09-25,-0.9136298579
23,2018-09-25,-0.8784928732
24,2018-09-25,-0.9445986517
1,2018-10-02,-0.8944286619
2,2018-10-02,-0.8437191631
3,2018-10-02,-0.8730722431
4,2018-10-02,-0.8997113586
5,2018-10-02,-0.8488091748
6,2018-10-02,-0.8114924304
7,2018-10-02,-0.7813482437
8,2018-10-02,-0.8745384241
9,2018-10-02,-0.8193458996
10,2018-10-02,-0.9791155048
11,2018-10-02,-1.050790833
12,2018-10-02,-1.06285393
13,2018-10-02,-1.113187016
14,2018-10-02,-0.9850942845
15,2018-10-02,-0.9744626755
16,2018-10-02,-0.9668199239
17,2018-10-02,-0.9178932
18,2018-10-02,-0.850444299
19,2018-10-02,-0.9499033461
20,2018-10-02,-1.068810764
21,2018-10-02,-1.046962244
22,2018-10-02,-1.047313699
23,2018-10-02,-0.801670853
24,2018-10-02,-0.9036221184
1,2018-10-09,-0.7299194883
2,2018-10-09,-0.7352600146
3,2018-10-09,-0.7377685871
4,2018-10-09,-0.7509411808
5,2018-10-09,-0.7403002843
6,2018-10-09,-0.7178366346
7,2018-10-09,-0.7470768265
8,2018-10-09,-0.6704629936
9,2018-10-09,-0.6531111029
10,2018-10-09,-0.7583204285
11,2018-10-09,-0.8928986165
12,2018-10-09,-0.8079380456
13,2018-10-09,-0.8791045861
14,2018-10-09,-0.653880122
15,2018-10-09,-0.8788569138
16,2018-10-09,-0.7363652654
17,2018-10-09,-0.6882922675
18,2018-10-09,-0.6298399157
19,2018-10-09,-0.6805370318
20,2018-10-09,-0.7568241187
21,2018-10-09,-0.7966744751
22,2018-10-09,-0.8682388646
23,2018-10-09,-0.6451977496
24,2018-10-09,-0.687699351
1,2018-10-16,-1.145423891
2,2018-10-16,-1.134015508
3,2018-10-16,-1.132451395
4,2018-10-16,-1.164064024
5,2018-10-16,-1.109284468
6,2018-10-16,-1.059951008
7,2018-10-16,-1.122343408
8,2018-10-16,-0.975736215
9,2018-10-16,-1.007867277
10,2018-10-16,-0.9992379662
11,2018-10-16,-1.132012305
12,2018-10-16,-1.091649273
13,2018-10-16,-1.147157746
14,2018-10-16,-1.03026624
15,2018-10-16,-1.091015881
16,2018-10-16,-1.005577352
17,2018-10-16,-0.9398424524
18,2018-10-16,-0.9195612685
19,2018-10-16,-0.9606439449
20,2018-10-16,-1.054899324
21,2018-10-16,-1.085474245
22,2018-10-16,-1.060186077
23,2018-10-16,-0.9906406579
24,2018-10-16,-0.9131386907
1,2018-10-23,-0.6662854658
2,2018-10-23,-0.6618412918
3,2018-10-23,-0.6595354996
4,2018-10-23,-0.6695800413
5,2018-10-23,-0.6681150948
6,2018-10-23,-0.6648252947
7,2018-10-23,-0.6603521797
8,2018-10-23,-0.6599630038
9,2018-10-23,-0.6362447116
10,2018-10-23,-0.7137867711
11,2018-10-23,-0.7630905876
12,2018-10-23,-0.7496487087
13,2018-10-23,-0.7931758071
14,2018-10-23,-0.6111869377
15,2018-10-23,-0.7329513103
16,2018-10-23,-0.7068124165
17,2018-10-23,-0.6801008677
18,2018-10-23,-0.6149238051
19,2018-10-23,-0.6682002814
20,2018-10-23,-0.7134459402
21,2018-10-23,-0.7073164205
22,2018-10-23,-0.7885767186
23,2018-10-23,-0.6106003941
24,2018-10-23,-0.6700721697
1,2018-10-30,-0.9627970547
2,2018-10-30,-0.9567291787
3,2018-10-30,-0.9508861316
4,2018-10-30,-0.9528784544
5,2018-10-30,-0.9617973241
6,2018-10-30,-0.9832779332
7,2018-10-30,-0.9939416946
8,2018-10-30,-0.9658299222
9,2018-10-30,-0.9663337067
10,2018-10-30,-0.9928654927
11,2018-10-30,-1.047331458
12,2018-10-30,-1.019951891
13,2018-10-30,-1.07660551
14,2018-10-30,-0.8922876454
15,2018-10-30,-1.072164354
