ward_no,date,mean
55,2018-07-10,-0.594915699135443
54,2018-07-10,-0.6002425941277685
53,2018-07-10,-0.5562920691359772
52,2018-07-10,-0.5944108525193307
61,2018-07-10,-0.6406797165298821
60,2018-07-10,-0.6777277659806634
57,2018-07-10,-0.5713820342850262
56,2018-07-10,-0.6106899748689967
67,2018-07-10,-0.5134987087074544
66,2018-07-10,-0.5178661301290584
64,2018-07-10,-0.5457867781917122
63,2018-07-10,-0.5185309970017992
62,2018-07-10,-0.5942278272797811
65,2018-07-10,-0.533177859700671
68,2018-07-10,-0.5224466431747373
72,2018-07-10,-0.6472553750683949
73,2018-07-10,-0.6730507984758078
74,2018-07-10,-0.5834090649658471
77,2018-07-10,-0.5892585380710235
75,2018-07-10,-0.6249539618944522
76,2018-07-10,-0.5630306291929522
76,2018-07-10,-0.677893246375335
78,2018-07-10,-0.6341677208710951
79,2018-07-10,-0.6687952749239514
83,2018-07-10,-0.6222063703514811
82,2018-07-10,-0.6484779520235177
80,2018-07-10,-0.6430639384395254
29,2018-07-10,-0.5736984784081879
81,2018-07-10,-0.6235713182069315
84,2018-07-10,-0.7131287966554458
85,2018-07-10,-0.5621085728489829
2,2018-07-17,-0.6000566412976928
5,2018-07-17,-0.5875052978681552
4,2018-07-17,-0.5829822571582273
3,2018-07-17,-0.5888878875985744
1,2018-07-17,-0.612077090409277
6,2018-07-17,-0.5816970535843925
21,2018-07-17,-0.5060947955543555
7,2018-07-17,-0.5263166152498167
8,2018-07-17,-0.5268972603767254
10,2018-07-17,-0.5193534477810858
13,2018-07-17,-0.5468863369633845
14,2018-07-17,-0.5355876314279849
9,2018-07-17,-0.5190649268658863
11,2018-07-17,-0.5314486821320709
12,2018-07-17,-0.5602030574458082
20,2018-07-17,-0.5186907584215611
15,2018-07-17,-0.5832119580596449
16,2018-07-17,-0.6046809617894753
17,2018-07-17,-0.5496773135000306
18,2018-07-17,-0.5892678102838179
24,2018-07-17,-0.5195747523332059
19,2018-07-17,-0.5385548890600282
22,2018-07-17,-0.4835231782627407
23,2018-07-17,-0.511314308900261
27,2018-07-17,-0.6042584668753239
28,2018-07-17,-0.6004397657426244
25,2018-07-17,-0.5759580583472858
26,2018-07-17,-0.5608854921015605
30,2018-07-17,-0.5986809542232739
31,2018-07-17,-0.595368780184742
32,2018-07-17,-0.5809291305048521
46,2018-07-17,-0.5894413847850746
51,2018-07-17,-0.5779632536350376
