,ward_no,date,mean
62,18,2018-07-10,-1.2420129078689317
63,25,2018-07-10,-1.2493235790718134
64,60,2018-07-10,-1.1120492891272928
65,10,2018-07-10,-1.1017354446501633
66,62,2018-07-10,-1.1249388310637365
67,71,2018-07-10,-1.0788153110145464
68,91,2018-07-10,-1.064884875831574
69,75,2018-07-10,-0.9982084515073372
70,96,2018-07-10,-0.9669425488599764
71,88,2018-07-10,-1.1469958754745089
72,44,2018-07-10,-1.2489777932606545
73,85,2018-07-10,-1.1449844379974683
74,89,2018-07-10,-1.1159215081674108
75,67,2018-07-10,-1.0767634734666482
76,76,2018-07-10,-0.984996178119944
77,74,2018-07-10,-0.9890320547787624
78,87,2018-07-10,-1.1470693535721506
79,132,2018-07-10,-1.0038974391887059
80,69,2018-07-10,-1.0926640253534623
81,22,2018-07-10,-1.2293043140665059
82,119,2018-07-10,-1.060528237588077
83,54,2018-07-10,-1.1075049511084112
84,122,2018-07-10,-0.8138881894697888
85,29,2018-07-10,-1.0548307122023324
86,109,2018-07-10,-0.9448498603985738
87,32,2018-07-10,-1.044331754703305
88,57,2018-07-10,-1.0251144289285337
89,136,2018-07-10,-1.1216617147778043
90,106,2018-07-10,-0.9843277173415266
91,4,2018-07-10,-1.2054248409019466
92,52,2018-07-10,-1.163985324504032
93,38,2018-07-10,-1.1592188024742764
94,81,2018-07-10,-1.0528974685443655
95,127,2018-07-10,-0.951796172314588
96,53,2018-07-10,-1.1242693664665575
97,34,2018-07-10,-1.0283441973203775
98,135,2018-07-10,-1.1595541279414832
99,117,2018-07-10,-1.0132548023843826
100,130,2018-07-10,-1.0610320352593774
101,19,2018-07-10,-1.1832967608918132
102,78,2018-07-10,-0.9851926852641496
103,27,2018-07-10,-1.1237155215064591
104,98,2018-07-10,-0.91440809691075
105,6,2018-07-10,-1.2146291820995785
106,2,2018-07-10,-1.259203816220772
107,59,2018-07-10,-1.0528775445016003
108,131,2018-07-10,-1.0081873687779377
109,42,2018-07-10,-1.240321838539456
110,129,2018-07-10,-1.0622617725018355
111,51,2018-07-10,-1.2288192677073784
112,120,2018-07-10,-1.0549109057035753
113,8,2018-07-10,-1.181011112213311
114,1,2018-07-10,-1.2434089454800408
115,80,2018-07-10,-1.0496682878386256
116,55,2018-07-10,-1.1318418861841335
117,64,2018-07-10,-1.065524103424922
118,107,2018-07-10,-0.992109066315372
119,77,2018-07-10,-0.981536678411264
120,28,2018-07-10,-1.0927648814285391
121,112,2018-07-10,-0.9208153089137332
122,133,2018-07-10,-1.1455393604597326
123,65,2018-07-10,-1.0741257331364922
124,24,2018-07-10,-1.2245101330861978
125,128,2018-07-10,-1.0530099302427978
126,50,2018-07-10,-1.211024645462816
