ward_no,date,mean
37,2018-07-17,-0.4945205510017089
36,2018-07-17,-0.4726968061022124
35,2018-07-17,-0.45018125188715336
34,2018-07-17,-0.4348442194655387
33,2018-07-17,-0.4238995718523865
32,2018-07-17,-0.454687074382253
31,2018-07-17,-0.4554025706081748
30,2018-07-17,-0.4422206024312372
29,2018-07-17,-0.4215631461026664
28,2018-07-17,-0.4449345289763301
27,2018-07-17,-0.4923677376951753
26,2018-07-17,-0.5064705984963032
25,2018-07-17,-0.5063757297325494
24,2018-07-17,-0.42572558832592255
23,2018-07-17,-0.4789891847306457
22,2018-07-17,-0.471801920347841
21,2018-07-17,-0.3864353837192773
20,2018-07-17,-0.4147545732278184
19,2018-07-17,-0.4176571523347542
18,2018-07-17,-0.3527840936242025
17,2018-07-17,-0.34961169868376396
16,2018-07-17,-0.40217798725809306
15,2018-07-17,-0.4343283647714456
14,2018-07-17,-0.430007202353243
13,2018-07-17,-0.4492197407637707
12,2018-07-17,-0.4131478455166864
11,2018-07-17,-0.31702451720487296
10,2018-07-17,-0.3620814440337064
9,2018-07-17,-0.35315101414955336
8,2018-07-17,-0.43444318810093
7,2018-07-17,-0.28919626691742883
6,2018-07-17,-0.3182266430844062
5,2018-07-17,-0.34890668234753075
4,2018-07-17,-0.35642152331983584
3,2018-07-17,-0.4879500827646844
2,2018-07-17,-0.36807678575645214
1,2018-07-17,-0.3794495538737122
48,2018-07-24,-0.04729037649978009
47,2018-07-24,-0.11449687685796728
46,2018-07-24,-0.056415049064502176
45,2018-07-24,0.15802120259906607
44,2018-07-24,0.2059030687807233
43,2018-07-24,0.23338973468826515
42,2018-07-24,0.24340372370665686
41,2018-07-24,0.1737646360964281
40,2018-07-24,0.22095241324906267
39,2018-07-24,0.2416588914400059
38,2018-07-24,0.22681121412151545
37,2018-07-24,0.21268980523361514
36,2018-07-24,0.17201640507500085
35,2018-07-24,0.03828419360638698
34,2018-07-24,-0.022530719908898832
33,2018-07-24,-0.0008042021131637537
32,2018-07-24,0.01859018678447429
31,2018-07-24,0.03923489058593798
30,2018-07-24,0.017549382754212108
29,2018-07-24,0.1611815363766224
28,2018-07-24,0.20053580193756174
27,2018-07-24,0.20258988721091392
26,2018-07-24,0.22194560712260827
25,2018-07-24,0.2292244024464173
24,2018-07-24,0.1420664549757577
23,2018-07-24,0.16032990671960473
22,2018-07-24,0.17022396524695427
21,2018-07-24,0.13405803628901075
20,2018-07-24,0.05218378532641425
19,2018-07-24,0.06308855766614811
18,2018-07-24,0.017878121416357903
17,2018-07-24,0.07660934252986952
16,2018-07-24,0.06506321935676845
15,2018-07-24,0.13194279227144906
14,2018-07-24,0.16067560788287993
13,2018-07-24,0.15842924554016052
12,2018-07-24,0.1228507838938639
11,2018-07-24,0.18998273028689192
10,2018-07-24,0.08848708896797337
9,2018-07-24,0.027716293791340718
8,2018-07-24,-0.015384613216989038
7,2018-07-24,0.008127231676292366
6,2018-07-24,0.0924225396087654
5,2018-07-24,0.056550502089827176
4,2018-07-24,0.10895777670713708
3,2018-07-24,0.0579556823571289
2,2018-07-24,-0.05355115353192511
1,2018-07-24,-0.013402530410850716
48,2018-07-31,0.2914085661344729
47,2018-07-31,0.3603207828383167
46,2018-07-31,0.3252648397334806
45,2018-07-31,0.5014617674857124
44,2018-07-31,0.5821849812438058
43,2018-07-31,0.5489397646913966
42,2018-07-31,0.5376962611862494
41,2018-07-31,0.4399586144715185
40,2018-07-31,0.5641813031925966
39,2018-07-31,0.5937955977131011
38,2018-07-31,0.6009062012955166
37,2018-07-31,0.5958470192103635
36,2018-07-31,0.5948959183683123
