,WARD_NO,date,mean
121,127.0,2018-07-10,-1.0951695245814517
122,128.0,2018-07-10,-1.1698165194181591
123,131.0,2018-07-10,-1.237689958894504
124,122.0,2018-07-10,-0.9313384775955534
125,123.0,2018-07-10,-0.9337097119694008
126,124.0,2018-07-10,-0.9370505829283801
127,132.0,2018-07-10,-1.0798659938808843
128,133.0,2018-07-10,-1.017471171905413
129,134.0,2018-07-10,-0.9731952234778712
130,157.0,2018-07-10,-1.0358131224687257
131,158.0,2018-07-10,-1.1001403331859798
132,135.0,2018-07-10,-0.9353490486910074
133,136.0,2018-07-10,-0.9595532192198254
134,137.0,2018-07-10,-0.9350287772727244
135,138.0,2018-07-10,-0.9319728702718404
136,139.0,2018-07-10,-0.9313695311494088
137,140.0,2018-07-10,-0.9766487644969064
138,141.0,2018-07-10,-1.0031768251026676
139,118.0,2018-07-10,-0.9488841354871762
140,119.0,2018-07-10,-0.9263729783332773
141,142.0,2018-07-10,-0.9578561030513568
142,143.0,2018-07-10,-0.9143549415363912
143,144.0,2018-07-10,-0.8715235298741897
144,145.0,2018-07-10,-0.9616811535301214
145,153.0,2018-07-10,-0.8428508999463218
146,155.0,2018-07-10,-0.9944945577509676
147,156.0,2018-07-10,-0.9962586610480106
148,154.0,2018-07-10,-0.8503296693924165
149,162.0,2018-07-10,-0.9628233690580316
150,163.0,2018-07-10,-0.8714362882387591
151,164.0,2018-07-10,-0.869289386522582
152,183.0,2018-07-10,-0.8462250798893328
153,161.0,2018-07-10,-0.9445367482555383
154,165.0,2018-07-10,-0.8159085823481795
155,166.0,2018-07-10,-0.7980771144191549
156,167.0,2018-07-10,-0.8221097817257148
157,180.0,2018-07-10,-0.7660713130631458
158,181.0,2018-07-10,-0.7825959337313146
159,182.0,2018-07-10,-0.7978565567097218
160,172.0,2018-07-10,-0.9437560865518948
161,146.0,2018-07-10,-0.9519911850305934
162,147.0,2018-07-10,-0.99374381260112
163,148.0,2018-07-10,-0.9132840328456256
164,151.0,2018-07-10,-0.9242210652269852
165,152.0,2018-07-10,-0.9378043371003776
166,173.0,2018-07-10,-0.8988894513548008
167,176.0,2018-07-10,-0.8623982943084362
168,170.0,2018-07-10,-0.807583651887734
169,171.0,2018-07-10,-0.8458240027830042
170,177.0,2018-07-10,-0.7437153837255893
171,178.0,2018-07-10,-0.7490967162583033
172,168.0,2018-07-10,-0.7680471382421387
173,169.0,2018-07-10,-0.7996775195127164
174,179.0,2018-07-10,-0.7710232678072628
175,82.0,2018-07-10,-0.5675466414997723
176,83.0,2018-07-10,-0.6781512136058554
177,84.0,2018-07-10,-0.5859943538513629
178,85.0,2018-07-10,-0.5225386739568896
179,86.0,2018-07-10,-0.6087105928012568
180,149.0,2018-07-10,-0.5939247397840318
181,150.0,2018-07-10,-0.6302712461430614
182,174.0,2018-07-10,-0.7483359932750668
183,175.0,2018-07-10,-0.9016305459465443
184,186.0,2018-07-10,-0.7604160044641719
185,187.0,2018-07-10,-0.7485661705073842
186,188.0,2018-07-10,-0.8312238173274081
187,189.0,2018-07-10,-0.9080567203648569
188,190.0,2018-07-10,-0.8353362835819512
189,191.0,2018-07-10,-0.9405330066647822
190,193.0,2018-07-10,-0.8674548150910576
191,184.0,2018-07-10,-0.950923863144258
192,185.0,2018-07-10,-0.7777064887168074
193,192.0,2018-07-10,-0.9652345836206252
194,194.0,2018-07-10,-0.8603932983819202
195,195.0,2018-07-10,-0.7754766198762192
196,196.0,2018-07-10,-0.8582221359727016
197,197.0,2018-07-10,-0.7766951979184828
198,1.0,2018-07-17,-0.441991845880562
199,2.0,2018-07-17,-0.452475212200239
200,3.0,2018-07-17,-0.4801783194140574
201,4.0,2018-07-17,-0.4509131250699863
202,52.0,2018-07-17,-0.4117143995049447
203,26.0,2018-07-17,-0.4207728621896488
204,25.0,2018-07-17,-0.3373123190608827
205,51.0,2018-07-17,-0.22540685615135506
206,53.0,2018-07-17,-0.46337878785159
207,54.0,2018-07-17,-0.409351602965279
208,55.0,2018-07-17,-0.29630906462306594
209,56.0,2018-07-17,-0.26667096275296065
210,81.0,2018-07-17,-0.29010865832362465
211,87.0,2018-07-17,-0.2611756674258537
