ward_no,date,mean
69,2018-07-17,-0.44860587849423
70,2018-07-17,-0.4342187007892133
71,2018-07-17,-0.4430488225171006
72,2018-07-17,-0.4621765492290376
73,2018-07-17,-0.4399865943862555
74,2018-07-17,-0.4350787475951968
75,2018-07-17,-0.44980516282323896
76,2018-07-17,-0.4563490196293655
1,2018-07-24,-0.5307086477718822
2,2018-07-24,-0.4233470831657376
3,2018-07-24,-0.4750676648470349
4,2018-07-24,-0.4190203695536636
5,2018-07-24,-0.3224635270971374
6,2018-07-24,-0.34374727688191364
7,2018-07-24,-0.3452068147186943
8,2018-07-24,-0.3800660876802381
9,2018-07-24,-0.4319982935470302
10,2018-07-24,-0.3557627872176183
11,2018-07-24,-0.4291616587243904
12,2018-07-24,-0.4438579830762344
13,2018-07-24,-0.4498740466206568
14,2018-07-24,-0.4253320032284537
15,2018-07-24,-0.4222360662170565
16,2018-07-24,-0.39578012409122576
17,2018-07-24,-0.4572062117869657
18,2018-07-24,-0.4607735087672241
19,2018-07-24,-0.4495425720986052
20,2018-07-24,-0.3967469922797501
21,2018-07-24,-0.4122705367650096
22,2018-07-24,-0.4395278940840759
23,2018-07-24,-0.4337564342711053
24,2018-07-24,-0.4484267888827386
25,2018-07-24,-0.43199073168912816
26,2018-07-24,-0.4258109594453109
27,2018-07-24,-0.4111637317298931
28,2018-07-24,-0.3819032529899379
29,2018-07-24,-0.3643065500955305
30,2018-07-24,-0.2640270760369759
31,2018-07-24,-0.2273713472621688
32,2018-07-24,-0.3313393620008882
33,2018-07-24,-0.3531356414069879
34,2018-07-24,-0.4074242402946381
35,2018-07-24,-0.37875919055987417
36,2018-07-24,-0.42228618172697996
37,2018-07-24,-0.4495279585220576
38,2018-07-24,-0.4321207988334016
39,2018-07-24,-0.4247050017388446
40,2018-07-24,-0.42353406688271983
41,2018-07-24,-0.3495791158559212
42,2018-07-24,-0.5068675503591131
43,2018-07-24,-0.5260822321045713
44,2018-07-24,-0.5150899845429752
45,2018-07-24,-0.5181760648115473
46,2018-07-24,-0.4825900346694172
47,2018-07-24,-0.4063676533196359
48,2018-07-24,-0.4282230464113042
49,2018-07-24,-0.4333332906893004
50,2018-07-24,-0.4390897624129905
51,2018-07-24,-0.4342212935343995
52,2018-07-24,-0.3988177574654132
53,2018-07-24,-0.33602251469466266
54,2018-07-24,-0.23471749758128385
55,2018-07-24,-0.3059826782415978
56,2018-07-24,-0.3218798415242522
57,2018-07-24,-0.3618587253179359
58,2018-07-24,-0.4250492949589995
59,2018-07-24,-0.4126561873075832
60,2018-07-24,-0.4004033973308839
61,2018-07-24,-0.4849158093277598
62,2018-07-24,-0.4943596982985772
63,2018-07-24,-0.5041544573284018
64,2018-07-24,-0.44983112839566186
65,2018-07-24,-0.4006479046896749
66,2018-07-24,-0.3936141683431657
67,2018-07-24,-0.41088570724964
68,2018-07-24,-0.3587509907543059
69,2018-07-24,-0.4454909475816806
70,2018-07-24,-0.5077850894468897
71,2018-07-24,-0.4958525235771437
72,2018-07-24,-0.5090122309384676
73,2018-07-24,-0.5029422542766413
74,2018-07-24,-0.4716926690670236
75,2018-07-24,-0.4153147900837459
76,2018-07-24,-0.4713507077533214
1,2018-07-31,0.5111752654789172
2,2018-07-31,0.4654515549749536
3,2018-07-31,0.5145892067815183
4,2018-07-31,0.4052901586723736
5,2018-07-31,0.4323648498677504
6,2018-07-31,0.3687411588279305
7,2018-07-31,0.2952683062778353
8,2018-07-31,0.2365865174459219
9,2018-07-31,0.17669306149242278
10,2018-07-31,0.09763108825584188
11,2018-07-31,0.22427548503345765
12,2018-07-31,0.2640672472573544
13,2018-07-31,0.2694494726781575
14,2018-07-31,0.3797613577013255
15,2018-07-31,0.3525294867160696
16,2018-07-31,0.3954497129786043
17,2018-07-31,0.4131560845295808
18,2018-07-31,0.4898425258453073
19,2018-07-31,0.5085758697985389
20,2018-07-31,0.5574639799302457
21,2018-07-31,0.3687836713289221
22,2018-07-31,0.2835385402971769
23,2018-07-31,0.2682911586156549
24,2018-07-31,0.2711151550477485
